speaker,gloss,date
MOT,yeah it's right there .,30-OCT-1963
CHI,xxx ?,30-OCT-1963
MOT,what's this ?,30-OCT-1963
CHI,a xxx .,30-OCT-1963
MOT,no what's that ?,30-OCT-1963
CHI,apple pie .,30-OCT-1963
MOT,apple pie .,30-OCT-1963
CHI,apple pie .,30-OCT-1963
CHI,right there Mommy .,30-OCT-1963
MOT,who's that ?,30-OCT-1963
CHI,a Bobo .,30-OCT-1963
MOT,another Bobo my .,30-OCT-1963
MOT,what's that ?,30-OCT-1963
CHI,0 .,30-OCT-1963
CHI,a key .,30-OCT-1963
MOT,that's not a key .,30-OCT-1963
MOT,what's that ?,30-OCT-1963
CHI,xxx .,30-OCT-1963
MOT,hm ?,30-OCT-1963
CHI,a blue budooc .,30-OCT-1963
CHI,Mommy .,30-OCT-1963
CHI,xxx .,30-OCT-1963
MOT,that doesn't make any sense .,30-OCT-1963
MOT,who's that ?,30-OCT-1963
CHI,Santie_Claus .,30-OCT-1963
MOT,Santie_Claus .,30-OCT-1963
MOT,Santa_Claus gonna come ?,30-OCT-1963
MOT,hm ?,30-OCT-1963
CHI,xxx .,30-OCT-1963
MOT,what's this ?,30-OCT-1963
CHI,a table .,30-OCT-1963
MOT,table .,30-OCT-1963
MOT,oh who's this ?,30-OCT-1963
CHI,a bunny .,30-OCT-1963
MOT,hm ?,30-OCT-1963
CHI,a bunny .,30-OCT-1963
MOT,that's not a bunny .,30-OCT-1963
MOT,that's who .,30-OCT-1963
CHI,a bunny .,30-OCT-1963
MOT,no .,30-OCT-1963
CHI,a bunny there there .,30-OCT-1963
MOT,it's not a bunny .,30-OCT-1963
MOT,it's your teddy+bear .,30-OCT-1963
CHI,teddy+bear bear ?,30-OCT-1963
MOT,yeah .,30-OCT-1963
MOT,what's this ?,30-OCT-1963
CHI,xxx .,30-OCT-1963
MOT,no .,30-OCT-1963
MOT,you don't know what that is do you .,30-OCT-1963
MOT,that's the Christmas tree .,30-OCT-1963
CHI,Christmas tree ?,30-OCT-1963
MOT,Christmas tree .,30-OCT-1963
CHI,xxx .,30-OCT-1963
MOT,you xxx one of those huh ?,30-OCT-1963
MOT,it's a xylophone .,30-OCT-1963
CHI,xxx toy .,30-OCT-1963
MOT,it's a toy yeah .,30-OCT-1963
MOT,xxx this ?,30-OCT-1963
CHI,a girl .,30-OCT-1963
MOT,girl .,30-OCT-1963
MOT,and who's this ?,30-OCT-1963
CHI,a baby .,30-OCT-1963
MOT,a baby .,30-OCT-1963
CHI,a doggy .,30-OCT-1963
MOT,a doggy .,30-OCT-1963
MOT,and what's this ?,30-OCT-1963
CHI,a boat .,30-OCT-1963
MOT,a boat .,30-OCT-1963
MOT,oh who's this ?,30-OCT-1963
CHI,a monkey .,30-OCT-1963
MOT,a monkey at the zoo .,30-OCT-1963
MOT,see all the people at the zoo ?,30-OCT-1963
MOT,huh who's this ?,30-OCT-1963
MOT,who's this ?,30-OCT-1963
MOT,you know who this one is .,30-OCT-1963
MOT,who's that .,30-OCT-1963
CHI,a b xxx .,30-OCT-1963
MOT,Bugs yeah .,30-OCT-1963
CHI,hm .,30-OCT-1963
MOT,hm .,30-OCT-1963
CHI,xxx .,30-OCT-1963
MOT,he's got feet yeah .,30-OCT-1963
CHI,eye .,30-OCT-1963
MOT,his eye .,30-OCT-1963
CHI,xxx eye .,30-OCT-1963
CHI,xxx .,30-OCT-1963
CHI,xxx Bobo xxx .,30-OCT-1963
CHI,here he is .,30-OCT-1963
MOT,here he is !,30-OCT-1963
MOT,that's Mr Snowman .,30-OCT-1963
CHI,xxx ?,30-OCT-1963
CHI,xxx .,30-OCT-1963
MOT,what's that ?,30-OCT-1963
CHI,xxx .,30-OCT-1963
CHI,doggy .,30-OCT-1963
MOT,that's a tiger .,30-OCT-1963
CHI,tiger .,30-OCT-1963
MOT,tiger !,30-OCT-1963
CHI,xxx ride .,30-OCT-1963
MOT,that's the ride yeah .,30-OCT-1963
MOT,you got a ride like that uhhuh .,30-OCT-1963
MOT,it's a seesaw .,30-OCT-1963
CHI,seesaw .,30-OCT-1963
MOT,yeah seesaw .,30-OCT-1963
CHI,yyy .,30-OCT-1963
MOT,don't touch .,30-OCT-1963
MOT,what's this ?,30-OCT-1963
CHI,a xxx door .,30-OCT-1963
MOT,the door .,30-OCT-1963
CHI,door .,30-OCT-1963
MOT,and what's this ?,30-OCT-1963
CHI,a xxx .,30-OCT-1963
MOT,hm ?,30-OCT-1963
CHI,an orange .,30-OCT-1963
MOT,an orange .,30-OCT-1963
CHI,xxx .,30-OCT-1963
CHI,a moon .,30-OCT-1963
MOT,Mr Moon .,30-OCT-1963
CHI,a doggy .,30-OCT-1963
MOT,doggy .,30-OCT-1963
CHI,a yyy .,30-OCT-1963
MOT,what ?,30-OCT-1963
CHI,yyy .,30-OCT-1963
CHI,a yyy .,30-OCT-1963
MOT,that's not a chair .,30-OCT-1963
MOT,what's that ?,30-OCT-1963
CHI,a light .,30-OCT-1963
MOT,a light .,30-OCT-1963
CHI,that light Mommy .,30-OCT-1963
CHI,xxx .,30-OCT-1963
CHI,Mommy .,30-OCT-1963
MOT,it won't come off .,30-OCT-1963
MOT,you can't get it out_of the book .,30-OCT-1963
CHI,0 .,30-OCT-1963
MOT,bless you .,30-OCT-1963
MOT,xxx funny ?,30-OCT-1963
CHI,xxx yyy kikic .,30-OCT-1963
CHI,kikic .,30-OCT-1963
MOT,kikic yeah .,30-OCT-1963
CHI,horsie .,30-OCT-1963
MOT,horsie .,30-OCT-1963
CHI,eye .,30-OCT-1963
MOT,his eye yeah .,30-OCT-1963
CHI,eye .,30-OCT-1963
MOT,what's this ?,30-OCT-1963
CHI,that horsie .,30-OCT-1963
MOT,that's a horsie but what's this ?,30-OCT-1963
CHI,that's horsie .,30-OCT-1963
MOT,horsie's what ?,30-OCT-1963
CHI,I ride horsie .,30-OCT-1963
CHI,horsie .,30-OCT-1963
MOT,horsie's what ?,30-OCT-1963
CHI,I ride he .,30-OCT-1963
CHI,horsie horsie .,30-OCT-1963
CHI,ride horsie .,30-OCT-1963
MOT,yeah but what's this ?,30-OCT-1963
MOT,horsie's what ?,30-OCT-1963
CHI,I ride horsie .,30-OCT-1963
CHI,ride horsie .,30-OCT-1963
MOT,what's that ?,30-OCT-1963
MOT,doggy's what ?,30-OCT-1963
CHI,doggy doggy doggy .,30-OCT-1963
MOT,doggy's what ?,30-OCT-1963
MOT,doggy's xxx .,30-OCT-1963
CHI,doggy .,30-OCT-1963
CHI,nice doggy .,30-OCT-1963
MOT,nice doggy .,30-OCT-1963
MOT,you're to love the doggy .,30-OCT-1963
CHI,yeah .,30-OCT-1963
MOT,yeah .,30-OCT-1963
MOT,he's there huh .,30-OCT-1963
CHI,Mummy .,30-OCT-1963
MOT,what ?,30-OCT-1963
CHI,xxx doggy .,30-OCT-1963
CHI,Mommy .,30-OCT-1963
MOT,that's the doctor .,30-OCT-1963
CHI,doctor .,30-OCT-1963
MOT,that Dr Marx ?,30-OCT-1963
CHI,Dr Marx ?,30-OCT-1963
MOT,hm ?,30-OCT-1963
CHI,kikic .,30-OCT-1963
CHI,duckie .,30-OCT-1963
MOT,duckie yeah .,30-OCT-1963
CHI,duckie .,30-OCT-1963
CHI,a eye .,30-OCT-1963
MOT,what ?,30-OCT-1963
CHI,a eye .,30-OCT-1963
MOT,an egg .,30-OCT-1963
MOT,yeah .,30-OCT-1963
CHI,right there Mommy .,30-OCT-1963
MOT,hm ?,30-OCT-1963
CHI,right there Mommy .,30-OCT-1963
MOT,right there ?,30-OCT-1963
MOT,what's right there ?,30-OCT-1963
CHI,xxx .,30-OCT-1963
CHI,Mommy .,30-OCT-1963
CHI,mine .,30-OCT-1963
CHI,mine .,30-OCT-1963
MOT,mine ?,30-OCT-1963
MOT,no .,30-OCT-1963
CHI,that .,30-OCT-1963
CHI,see that .,30-OCT-1963
MOT,yeah .,30-OCT-1963
CHI,mine .,30-OCT-1963
MOT,mhm .,30-OCT-1963
CHI,see there .,30-OCT-1963
CHI,Mommy .,30-OCT-1963
CHI,xxx .,30-OCT-1963
CHI,see there Mommy .,30-OCT-1963
MOT,isn't that nice ?,30-OCT-1963
CHI,xxx .,30-OCT-1963
MOT,0 .,30-OCT-1963
CHI,Mommy .,30-OCT-1963
MOT,yeah what's that ?,30-OCT-1963
CHI,a chair .,30-OCT-1963
CHI,a key .,30-OCT-1963
CHI,xxx .,30-OCT-1963
MOT,what's that ?,30-OCT-1963
CHI,my hand .,30-OCT-1963
MOT,your hand uhhuh .,30-OCT-1963
CHI,xxx horsie .,30-OCT-1963
CHI,xxx more horsie .,30-OCT-1963
CHI,more horsie .,30-OCT-1963
CHI,ride horsie .,30-OCT-1963
CHI,I ride horsie .,30-OCT-1963
CHI,I ride horsie .,30-OCT-1963
CHI,I ride horsie .,30-OCT-1963
MOT,you like to ride the horsie ?,30-OCT-1963
CHI,I ride horsie xxx .,30-OCT-1963
CHI,I ride horsie xxx .,30-OCT-1963
CHI,xxx .,30-OCT-1963
CHI,Mummy .,30-OCT-1963
CHI,xxx .,30-OCT-1963
CHI,monkey .,30-OCT-1963
MOT,monkey yup .,30-OCT-1963
CHI,doggy .,30-OCT-1963
MOT,doggy .,30-OCT-1963
MOT,hm ?,30-OCT-1963
CHI,doggy .,30-OCT-1963
MOT,donkey ?,30-OCT-1963
CHI,xxx donkey .,30-OCT-1963
CHI,doggy .,30-OCT-1963
MOT,horsie .,30-OCT-1963
CHI,horsie .,30-OCT-1963
MOT,horsie .,30-OCT-1963
CHI,there .,30-OCT-1963
CHI,see there Mommy .,30-OCT-1963
MOT,hm ?,30-OCT-1963
CHI,see there Mommy .,30-OCT-1963
CHI,kikuc ?,30-OCT-1963
CHI,kikuc Mommy ?,30-OCT-1963
CHI,kikuc ?,30-OCT-1963
CHI,there .,30-OCT-1963
MOT,I don't know .,30-OCT-1963
MOT,that's an elephant .,30-OCT-1963
CHI,hm ?,30-OCT-1963
CHI,huh ?,30-OCT-1963
CHI,xxx .,30-OCT-1963
CHI,see that .,30-OCT-1963
CHI,bird ?,30-OCT-1963
CHI,a bird Mummy ?,30-OCT-1963
MOT,hm ?,30-OCT-1963
CHI,bird ?,30-OCT-1963
MOT,bird yeah .,30-OCT-1963
CHI,see that .,30-OCT-1963
MOT,what's that ?,30-OCT-1963
CHI,a duckie .,30-OCT-1963
MOT,a duckie .,30-OCT-1963
MOT,yeah .,30-OCT-1963
CHI,a dab dab dab dab dab dab dab dab dab xxx .,30-OCT-1963
CHI,xxx .,30-OCT-1963
CHI,dadadab dadadab .,30-OCT-1963
